date,church,prayer,bible,church service,rep
2023-06-01,78.0,16.0,53.0,1.0,2.0
2023-07-01,75.0,15.0,52.0,1.0,2.0
2023-08-01,70.0,15.0,51.0,1.0,2.0
2023-09-01,71.0,16.0,54.0,1.0,2.0
2023-10-01,73.0,17.0,57.0,1.0,2.0
2023-11-01,69.0,17.0,54.0,1.0,2.0
2023-12-01,80.0,17.0,53.0,1.0,2.0
2024-01-01,70.0,17.0,60.0,1.0,2.0
2024-02-01,80.0,16.0,59.0,1.0,2.0
2024-03-01,83.0,20.0,59.0,1.0,2.0
2024-04-01,70.0,17.0,59.0,1.0,2.0
2024-05-01,69.0,16.0,54.0,1.0,2.0
2024-06-01,76.0,14.0,51.0,1.0,2.0
2024-07-01,67.0,14.0,54.0,1.0,2.0
2024-08-01,70.0,16.0,54.0,1.0,2.0
2024-09-01,72.0,16.0,54.0,1.0,2.0
2024-10-01,69.0,16.0,57.0,1.0,2.0
2024-11-01,64.0,17.0,57.0,1.0,2.0
2024-12-01,76.0,16.0,55.0,1.0,2.0
2025-01-01,66.0,18.0,65.0,1.0,2.0
2025-02-01,71.0,16.0,64.0,1.0,2.0
2025-03-01,74.0,22.0,64.0,1.0,2.0
2025-04-01,87.0,17.0,65.0,2.0,2.0
2025-05-01,72.0,16.0,57.0,1.0,2.0
2025-06-01,75.0,16.0,61.0,1.0,2.0
2025-07-01,75.0,18.0,61.0,1.0,2.0
2025-08-01,79.0,18.0,61.0,1.0,2.0
2025-09-01,88.0,19.0,72.0,1.0,2.0
2025-10-01,79.0,18.0,68.0,1.0,2.0
2025-11-01,82.0,18.0,66.0,1.0,2.0
2025-12-01,87.0,18.0,65.0,2.0,2.0
2026-01-01,81.0,18.0,71.0,2.0,2.0
2026-02-01,93.0,21.0,66.0,2.0,2.0
2026-03-01,81.0,21.0,70.0,2.0,2.0
2026-04-01,88.0,19.0,74.0,2.0,2.0
2026-05-01,79.0,18.0,66.0,2.0,2.0
2026-06-01,78.0,16.0,60.0,2.0,2.0
2026-07-01,71.0,15.0,60.0,1.0,2.0
