date,church,prayer,bible,church service
2016-11-01,75,13,43,1
2016-12-01,80,12,39,1
2017-01-01,79,14,48,1
2017-02-01,79,14,47,1
2017-03-01,81,13,45,1
2017-04-01,94,13,46,1
2017-05-01,76,14,42,1
2017-06-01,75,13,42,1
2017-07-01,77,11,42,1
2017-08-01,77,13,43,1
2017-09-01,75,13,45,1
2017-10-01,78,12,41,1
2017-11-01,81,13,44,1
2017-12-01,85,13,42,1
2018-01-01,75,13,46,1
2018-02-01,80,13,46,1
2018-03-01,85,13,46,1
2018-04-01,87,13,47,1
2018-05-01,69,14,42,1
2018-06-01,75,13,43,1
2018-07-01,82,12,42,1
2018-08-01,78,14,44,1
2018-09-01,78,13,45,1
2018-10-01,76,13,43,1
2018-11-01,73,13,41,1
2018-12-01,83,13,41,2
2019-01-01,76,13,48,1
2019-02-01,75,13,48,1
2019-03-01,85,14,43,1
2019-04-01,100,14,47,1
2019-05-01,74,15,43,1
2019-06-01,77,13,42,1
2019-07-01,73,12,41,1
2019-08-01,73,13,40,1
2019-09-01,76,13,42,1
2019-10-01,75,13,43,1
2019-11-01,70,14,42,1
2019-12-01,86,13,41,1
2020-01-01,75,14,47,1
2020-02-01,77,14,46,1
2020-03-01,83,16,48,1
2020-04-01,80,18,52,2
2020-05-01,64,16,44,1
2020-06-01,68,14,49,1
2020-07-01,61,14,44,1
2020-08-01,64,15,44,1
2020-09-01,59,16,44,1
2020-10-01,61,15,43,1
2020-11-01,57,15,41,1
2020-12-01,63,15,42,1
2021-01-01,61,16,49,1
2021-02-01,67,14,46,1
2021-03-01,63,14,41,1
2021-04-01,71,16,42,1
2021-05-01,65,15,42,1
2021-06-01,65,13,41,1
2021-07-01,64,13,41,1
2021-08-01,66,14,43,1
2021-09-01,64,14,45,1
2021-10-01,68,13,42,1
2021-11-01,63,15,43,1
2021-12-01,74,14,42,1
2022-01-01,72,15,51,1
2022-02-01,70,15,50,1
2022-03-01,80,15,49,1
2022-04-01,81,16,49,1
2022-05-01,76,15,48,1
2022-06-01,73,14,46,1
2022-07-01,73,14,48,1
2022-08-01,71,15,47,1
2022-09-01,65,14,48,1
2022-10-01,71,15,48,1
2022-11-01,65,16,44,1
2022-12-01,72,15,47,1
2023-01-01,73,16,52,1
2023-02-01,76,16,53,1
2023-03-01,73,19,53,1
2023-04-01,84,19,56,1
2023-05-01,71,18,52,1
2023-06-01,78,16,53,1
2023-07-01,74,15,52,1
2023-08-01,70,16,51,1
2023-09-01,72,16,55,1
2023-10-01,73,17,57,1
2023-11-01,70,17,54,1
2023-12-01,79,17,53,1
2024-01-01,71,17,61,1
2024-02-01,80,16,59,1
2024-03-01,84,22,59,1
2024-04-01,71,17,60,1
2024-05-01,69,15,54,1
2024-06-01,77,15,52,1
2024-07-01,67,15,55,1
2024-08-01,71,15,55,1
2024-09-01,73,16,54,1
2024-10-01,69,16,57,1
2024-11-01,64,17,57,1
2024-12-01,76,16,55,1
2025-01-01,66,18,65,1
2025-02-01,71,17,64,1
2025-03-01,74,22,64,1
2025-04-01,88,17,66,2
2025-05-01,71,16,57,1
2025-06-01,77,16,63,1
2025-07-01,75,18,61,1
2025-08-01,79,17,61,1
2025-09-01,89,18,73,1
2025-10-01,79,18,68,1
2025-11-01,81,18,65,1
2025-12-01,87,18,64,2
2026-01-01,82,18,72,2
2026-02-01,94,23,67,2
2026-03-01,82,21,71,2
2026-04-01,88,19,75,2
2026-05-01,80,18,66,2
2026-06-01,79,17,61,2
2026-07-01,73,15,61,1
