date,church,meditation,mindfulness,manifestation,chakras,rep
2007-08-01,84.0,3.0,0.0,0.0,0.0,2.0
2007-09-01,86.0,3.0,0.0,0.0,0.0,2.0
2007-10-01,80.0,3.0,0.0,0.0,0.0,2.0
2007-11-01,78.0,3.0,0.0,0.0,0.0,2.0
2007-12-01,84.0,3.0,0.0,0.0,0.0,2.0
2008-01-01,85.0,3.0,0.0,0.0,0.0,2.0
2008-02-01,85.0,3.0,0.0,0.0,0.0,2.0
2008-03-01,97.0,3.0,0.0,0.0,0.0,2.0
2008-04-01,84.0,3.0,0.0,0.0,0.0,2.0
2008-05-01,75.0,2.0,0.0,0.0,0.0,2.0
2008-06-01,77.0,2.0,0.0,0.0,0.0,2.0
2008-07-01,77.0,2.0,0.0,0.0,0.0,2.0
2008-08-01,77.0,2.0,0.0,0.0,0.0,2.0
2008-09-01,79.0,2.0,0.0,0.0,0.0,2.0
2008-10-01,78.0,3.0,0.0,0.0,0.0,2.0
2008-11-01,80.0,3.0,0.0,0.0,0.0,2.0
2008-12-01,80.0,2.0,0.0,0.0,0.0,2.0
2009-01-01,79.0,3.0,0.0,0.0,0.0,2.0
2009-02-01,84.0,3.0,0.0,0.0,0.0,2.0
2009-03-01,83.0,3.0,0.0,0.0,0.0,2.0
2009-04-01,89.0,3.0,0.0,0.0,0.0,2.0
2009-05-01,76.0,3.0,0.0,0.0,0.0,2.0
2009-06-01,80.0,2.0,0.0,0.0,0.0,2.0
2009-07-01,76.0,2.0,0.0,0.0,0.0,2.0
2009-08-01,81.0,2.0,0.0,0.0,0.0,2.0
2009-09-01,77.0,3.0,0.0,0.0,0.0,2.0
2009-10-01,78.0,3.0,0.0,0.0,0.0,2.0
2009-11-01,74.0,3.0,0.0,0.0,0.0,2.0
2009-12-01,80.0,2.0,0.0,0.0,0.0,2.0
2010-01-01,79.0,3.0,0.0,0.0,0.0,2.0
2010-02-01,83.0,3.0,0.0,0.0,0.0,2.0
2010-03-01,81.0,3.0,0.0,0.0,0.0,2.0
2010-04-01,91.0,3.0,0.0,0.0,0.0,2.0
2010-05-01,77.0,3.0,0.0,0.0,0.0,2.0
2010-06-01,77.0,2.0,0.0,0.0,0.0,2.0
2010-07-01,71.0,3.0,0.0,0.0,0.0,2.0
2010-08-01,76.0,3.0,0.0,0.0,0.0,2.0
2010-09-01,77.0,3.0,0.0,0.0,0.0,2.0
2010-10-01,72.0,3.0,0.0,0.0,0.0,2.0
2010-11-01,71.0,3.0,0.0,0.0,0.0,2.0
2010-12-01,75.0,3.0,0.0,0.0,0.0,2.0
2011-01-01,85.0,3.0,0.0,0.0,0.0,2.0
2011-02-01,83.0,3.0,0.0,0.0,0.0,2.0
2011-03-01,86.0,3.0,0.0,0.0,0.0,2.0
2011-04-01,100.0,3.0,0.0,0.0,0.0,2.0
2011-05-01,86.0,3.0,0.0,0.0,0.0,2.0
2011-06-01,85.0,3.0,0.0,0.0,0.0,2.0
2011-07-01,83.0,3.0,0.0,0.0,0.0,2.0
2011-08-01,86.0,3.0,0.0,0.0,0.0,2.0
2011-09-01,82.0,3.0,0.0,0.0,0.0,2.0
2011-10-01,81.0,3.0,0.0,0.0,0.0,2.0
2011-11-01,77.0,3.0,0.0,0.0,0.0,2.0
2011-12-01,90.0,3.0,0.0,0.0,0.0,2.0
2012-01-01,85.0,3.0,0.0,0.0,0.0,2.0
2012-02-01,90.0,3.0,0.0,0.0,0.0,2.0
2012-03-01,82.0,3.0,0.0,0.0,0.0,2.0
2012-04-01,97.0,3.0,0.0,0.0,0.0,2.0
2012-05-01,90.0,3.0,0.0,0.0,0.0,2.0
2012-06-01,85.0,3.0,0.0,0.0,0.0,2.0
2012-07-01,83.0,3.0,0.0,0.0,0.0,2.0
